PRCP       046037 18920101 20111231 TIBOOBURRA POST OFFICE                      
19850801 19850831    12.2
19850901 19850930     0.4
19851001 19851031    33.8
19851101 19851130    86.5
19851201 19851231    15.2
19860101 19860131     0.0
19860201 19860228     1.6
19860301 19860331     0.0
19860401 19860430     1.8
19860501 19860531    50.4
19860601 19860630     0.0
19860701 19860731    63.9
19860801 19860831     7.6
19860901 19860930    14.6
19861001 19861031    44.6
19861101 19861130     6.6
19861201 19861231    27.5
19870101 19870131     2.2
19870201 19870228   147.2
19870301 19870331    10.0
19870401 19870430     0.0
19870501 19870531    92.5
19870601 19870630    42.4
19870701 19870731     0.0
19870801 19870831    23.2
19870901 19870930    19.6
19871001 19871031     4.4
19871101 19871130    35.8
19871201 19871231    85.4
19880101 19880131     0.0
19880201 19880229     0.4
19880301 19880331    51.8
19880401 19880430    33.8
19880501 19880531    43.2
19880601 19880630    24.6
19880701 19880731    47.0
19880801 19880831     7.6
19880901 19880930    14.2
19881001 19881031     2.8
19881101 19881130     6.0
19881201 19881231    88.2
19890101 19890131     0.8
19890201 19890228     7.2
19890301 19890331    57.8
19890401 19890430    26.2
19890501 19890531    92.4
19890601 19890630     5.2
19890701 19890731    31.6
19890801 19890831     1.4
19890901 19890930     0.0
19891001 19891031    15.8
19891101 19891130     8.2
19891201 19891231     0.2
19900101 19900131    40.2
19900201 19900228     5.4
19900301 19900331     8.6
19900401 19900430    45.9
19900501 19900531    40.7
19900601 19900630     4.0
19900701 19900731    18.8
19900801 19900831     5.2
19900901 19900930     2.6
19901001 19901031    40.0
19901101 19901130     1.2
19901201 19901231     0.0
19910101 19910131     2.6
19910201 19910228    16.2
19910301 19910331     0.0
19910401 19910430     0.0
19910501 19910531     1.4
19910601 19910630    12.7
19910701 19910731     9.2
19910801 19910831     0.6
19910901 19910930     1.4
19911001 19911031     0.0
19911101 19911130    85.0
19911201 19911231     8.6
19920101 19920131     6.4
19920201 19920229    25.4
19920301 19920331     0.0
19920401 19920430     7.0
19920501 19920531    10.4
19920601 19920630     2.8
19920701 19920731    11.4
19920801 19920831    32.5
19920901 19920930    16.6
19921001 19921031    17.8
19921101 19921130    19.6
19921201 19921231    93.5
19930101 19930131    96.2
19930201 19930228    28.4
19930301 19930331    13.2
19930401 19930430     0.0
19930501 19930531    48.6
19930601 19930630     5.6
19930701 19930731    28.1
19930801 19930831     0.4
19930901 19930930    20.2
19931001 19931031    46.4
19931101 19931130     7.5
19931201 19931231    28.7
19940101 19940131     0.0
19940201 19940228    21.0
19940301 19940331     0.4
19940401 19940430     0.0
19940501 19940531     5.0
19940601 19940630    10.6
19940701 19940731     0.6
19940801 19940831     0.0
19940901 19940930     4.8
19941001 19941031     8.2
19941101 19941130    26.2
19941201 19941231     3.0
19950101 19950131    67.0
19950201 19950228     0.0
19950301 19950331     0.0
19950401 19950430     0.6
19950501 19950531    18.4
19950601 19950630     4.4
19950701 19950731     4.2
19950801 19950831     0.8
19950901 19950930    42.4
19951001 19951031    34.4
19951101 19951130    51.6
19951201 19951231    14.8
19960101 19960131     7.2
19960201 19960229    25.8
19960301 19960331     5.2
19960401 19960430     0.0
19960501 19960531    20.2
19960601 19960630     9.4
19960701 19960731    63.0
19960801 19960831     3.2
19960901 19960930    34.4
19961001 19961031     7.8
19961101 19961130    10.6
19961201 19961231     9.2
19970101 19970131    42.6
19970201 19970228   142.0
19970301 19970331     0.0
19970401 19970430     0.0
19970501 19970531    19.4
19970601 19970630     4.0
19970701 19970731     1.8
19970801 19970831     4.4
19970901 19970930     6.4
19971001 19971031     2.8
19971101 19971130    27.2
19971201 19971231     7.4
19980101 19980131    22.8
19980201 19980228    19.4
19980301 19980331     0.0
19980401 19980430    10.8
19980501 19980531     4.8
19980601 19980630    13.0
19980701 19980731    86.6
19980801 19980831     3.4
19980901 19980930   139.5
19981001 19981031    12.3
19981101 19981130    50.2
19981201 19981231     7.2
19990101 19990131     8.4
19990201 19990228     1.6
19990301 19990331    30.2
19990401 19990430     0.0
19990501 19990531     8.4
19990601 19990630    16.0
19990701 19990731    15.2
19990801 19990831     6.6
19990901 19990930     5.8
19991001 19991031    51.6
19991101 19991130    48.8
19991201 19991231    19.2
20000101 20000131     1.4
20000201 20000229   165.4
20000301 20000331    45.2
20000401 20000430    43.2
20000501 20000531    24.8
20000601 20000630     5.2
20000701 20000731    10.4
20000801 20000831    21.2
20000901 20000930     2.2
20001001 20001031    28.4
20001101 20001130    12.2
20001201 20001231     4.2
20010101 20010131    24.2
20010201 20010228     2.2
20010301 20010331    17.6
20010401 20010430     2.4
20010501 20010531     0.6
20010601 20010630    46.2
20010701 20010731     9.2
20010801 20010831     2.0
20010901 20010930     2.0
20011001 20011031    34.6
20011101 20011130     0.4
20011201 20011231    14.4
20020101 20020131     5.2
20020201 20020228    22.6
20020301 20020331     0.0
20020401 20020430    12.2
20020501 20020531     8.6
20020601 20020630     0.0
20020701 20020731     0.2
20020801 20020831     0.0
20020901 20020930     6.8
20021001 20021031     0.0
20021101 20021130     0.8
20021201 20021231     7.2
20030101 20030131     2.2
20030201 20030228    44.6
20030301 20030331     0.0
20030401 20030430    58.6
20030501 20030531    12.8
20030601 20030630    23.8
20030701 20030731     2.8
20030801 20030831    33.0
20030901 20030930     0.0
20031001 20031031     8.2
20031101 20031130    20.2
20031201 20031231    16.6
20040101 20040131     1.8
20040201 20040229    13.0
20040301 20040331     3.4
20040401 20040430     4.8
20040501 20040531    37.6
20040601 20040630    16.0
20040701 20040731     9.4
20040801 20040831    20.8
20040901 20040930    17.6
20041001 20041031     4.0
20041101 20041130    27.0
20041201 20041231     0.0
20050101 20050131     9.0
20050201 20050228     0.0
20050301 20050331     2.6
20050401 20050430     2.4
20050501 20050531     3.0
20050601 20050630    51.6
20050701 20050731    18.6
20050801 20050831     2.4
20050901 20050930    27.8
20051001 20051031     7.2
20051101 20051130     6.8
20051201 20051231     0.0
20060101 20060131     9.4
20060201 20060228     2.4
20060301 20060331     0.2
20060401 20060430     2.4
20060501 20060531     0.2
20060601 20060630    23.4
20060701 20060731    46.8
20060801 20060831     0.0
20060901 20060930     0.0
20061001 20061031     9.2
20061101 20061130     0.4
20061201 20061231    20.2
20070101 20070131   118.0
20070201 20070228     0.6
20070301 20070331    33.0
20070401 20070430    35.8
20070501 20070531    94.0
20070601 20070630     1.2
20070701 20070731     0.0
20070801 20070831     7.0
20070901 20070930     0.2
20071001 20071031    10.4
20071101 20071130     4.8
20071201 20071231     8.4
20080101 20080131    13.8
20080201 20080229     9.4
20080301 20080331     5.0
20080401 20080430     0.0
20080501 20080531     0.0
20080601 20080630    31.8
20080701 20080731     0.8
20080801 20080831     4.4
20080901 20080930     8.4
20081001 20081031     0.8
20081101 20081130    81.6
20081201 20081231    20.2
20090101 20090131    17.6
20090201 20090228     0.0
20090301 20090331     0.0
20090401 20090430     2.8
20090501 20090531     7.4
20090601 20090630    12.0
20090701 20090731     2.8
20090801 20090831     1.0
20090901 20090930    10.2
20091001 20091031     1.4
20091101 20091130    41.6
20091201 20091231    44.2
20100101 20100131     8.6
20100201 20100228   155.0
20100301 20100331    43.4
20100401 20100430     8.6
20100501 20100531     5.0
20100601 20100630     1.2
20100701 20100731    52.4
20100801 20100831    13.6
20100901 20100930    52.0
20101001 20101031    67.6
20101101 20101130   122.6
20101201 20101231    61.6
20110101 20110131    90.8
20110201 20110228    30.2
20110301 20110331    38.0
20110401 20110430     7.8
20110501 20110531     3.2
20110601 20110630     0.2
20110701 20110731     6.6
20110801 20110831     2.0
20110901 20110930    15.4
20111001 20111031    21.0
20111101 20111130   123.6
20111201 20111231    34.4
